
2022/01/18 (17:21:27) | ERROR: Stall in Runner thread, restarting!
2022/01/18 (17:22:40) | ERROR: Stall in Runner thread, restarting!
2022/01/18 (17:24:15) | ERROR: Stall in Runner thread, restarting!
2022/01/18 (17:25:06) | ERROR: Stall in Runner thread, restarting!

2022/01/18 (20:28:36) | ===> btop++ v.1.1.4
2022/01/18 (20:28:36) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2022/01/18 (20:28:36) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2022/01/18 (21:03:33) | ERROR: Stall in Runner thread, restarting!

2022/01/18 (21:05:00) | ===> btop++ v.1.1.4
2022/01/18 (21:05:00) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2022/01/18 (21:05:00) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/01/19 (12:48:56) | ===> btop++ v.1.1.4
2022/01/19 (12:48:56) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2022/01/19 (12:48:56) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/01/20 (10:13:34) | ===> btop++ v.1.1.4
2022/01/20 (10:13:34) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2022/01/20 (10:13:34) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2022/01/20 (12:45:35) | ERROR: Stall in Runner thread, restarting!

2022/01/20 (18:01:20) | ===> btop++ v.1.1.4
2022/01/20 (18:01:20) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2022/01/20 (18:01:20) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/01/24 (10:43:16) | ===> btop++ v.1.1.4
2022/01/24 (10:43:16) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2022/01/24 (10:43:16) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/01/25 (12:03:04) | ===> btop++ v.1.1.4
2022/01/25 (12:03:04) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2022/01/25 (12:03:04) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2022/01/25 (18:04:56) | ERROR: Failed to join _runner thread!

2022/01/25 (18:50:49) | ===> btop++ v.1.1.4
2022/01/25 (18:50:49) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2022/01/25 (18:50:49) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2022/01/25 (20:43:41) | ERROR: Stall in Runner thread, restarting!

2022/01/25 (20:46:55) | ===> btop++ v.1.1.4
2022/01/25 (20:46:55) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2022/01/25 (20:46:55) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/01/26 (16:07:32) | ===> btop++ v.1.1.4
2022/01/26 (16:07:32) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2022/01/26 (16:07:32) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

